layer,captured_objectid,auth_globalid,distance_ft,match_type,action,attachment_count,attachment_names
,61,5d88b7a0-55e8-4add-8ad3-6373d459ee75,0.6476106453193974,clean,updated,0,
,62,fa3896e6-e2c9-4dbf-8ea5-c416806cbc61,1.2923822426200604,clean,updated,0,
,63,a3668fff-1f61-4b5b-b0f8-2a89177d021e,0.9308821598561376,clean,updated,0,
,64,49e5fa6c-a96b-49e1-83d0-d479cbfab4bb,0.7427191070591271,clean,updated,0,
,65,38944c61-4686-47ee-aef0-d91c90b08145,0.5474802088206426,clean,updated,0,
,66,5d1b71b8-5046-4218-8fdd-9636226f6744,0.5326183354906053,clean,updated,0,
,67,75e4302c-ead5-4bb2-80e9-f8c751451014,0.6991944912970756,clean,updated,0,
,68,0bbb7457-f79f-47cd-bc39-116d719d7663,1.1693187108645662,clean,updated,0,
,69,77828878-028f-4d88-a6d4-48ba87e7bb3c,1.0096940786484654,clean,updated,0,
,70,be97275b-b892-47ab-864e-db81699361b1,1.105412091877993,clean,updated,0,
,71,1dd057a5-4179-46df-ad00-34eed80442e0,1.497993494300065,clean,updated,0,
,72,049e50a5-a8bf-4e8a-96d2-615112a4aec0,0.6717647489562594,clean,updated,0,
,73,ca6efb0b-62e8-4e04-8ff0-aec6d7defc0f,0.7891595969583494,clean,updated,0,
,74,09cd3ff4-4128-4062-841d-2b42da10716d,0.5648453796558913,clean,updated,0,
,75,6e435464-504d-4264-9595-1a929cd87f53,0.956631561702623,clean,updated,0,
,76,0101f345-474a-49ed-890f-101db5c3bf9f,0.8099541641781601,clean,updated,0,
,77,1b5ba1b8-e9d5-482d-b8ca-47663ecf3a89,0.4403915199617161,clean,updated,0,
,78,e96b6cce-809e-4a6b-a756-831380dfed79,0.4074574474829888,clean,updated,0,
,79,c7f1a374-b71a-4b34-b352-75f907860665,0.6384081669808688,clean,updated,0,
,80,e678f83c-9268-4239-a576-c0f42d6de5ff,1.000023276935246,clean,updated,0,
,81,,,new,appended,0,
,82,c7396c46-2dd1-46e4-9af8-50334327a071,0.7817684361879118,clean,updated,0,
,83,704a8743-16e7-42ec-8263-28dcfb65f58e,0.5328660312129032,clean,updated,0,
,84,e73e1e0d-fc49-4860-9d86-4a4f7c197c1f,0.6478506430966262,clean,updated,0,
,85,c6ee5fc7-4d70-48fd-8eca-54071fb5a873,0.9202580369672362,clean,updated,0,
,86,a4105f48-865d-4d2c-8578-fe0b9686da4c,0.3910396346262566,clean,updated,0,
,87,290a35c4-c853-4127-af78-0a8cda69caab,1.0594584247646586,clean,updated,0,
,88,c94ead67-b29f-4244-985b-687489a5e017,3.7528008201068284,clean,updated,0,
,89,aa59e383-0e70-4ac7-bb7b-1298b484eadd,1.6955447810813076,clean,updated,0,
,90,302153a6-d269-480b-9053-b0a42efe22e6,1.8808829118030668,clean,updated,0,
,91,76e187b0-792f-47e8-b671-4e198eb0b304,1.4262585721313317,clean,updated,0,
,92,2f9d7d6a-a3a3-4f77-af37-60569984ff58,0.4729751306885028,clean,updated,0,
,93,7b53811d-4b0d-4810-b220-0afe83844bb2,0.2743623024741988,clean,updated,0,
,94,49d5a65c-7595-4d20-8388-7d8f33a5eec7,0.9771529363598239,clean,updated,0,
,95,1559196b-ff8a-43f9-b605-51e84dd9ad03,0.7067755955784619,clean,updated,0,
,96,23b928e1-d897-4d81-bdff-a0db3c8b15a6,0.23843546741565413,clean,updated,0,
,97,9e6413c8-d499-4650-bdc2-5b1de361fa4e,1.7131923021329698,clean,updated,0,
,98,7ece6b9d-9e74-46e2-9877-e046b9db9d2a,1.272465556570195,clean,updated,0,
,99,e6b9d839-de48-4d14-8d37-7daa8e03d672,1.810577516179532,clean,updated,0,
